city,country,lon,lat,temp,max_temp,min_temp,humidity,cloudiness,WindSpeed,Date
Atar,MR,-13.05,20.52,77.28,77.28,77.28,30,0,6.06,1538180973
Tabou,CI,-7.36,4.42,78.54,78.54,78.54,100,68,12.33,1538180974
La Ronge,CA,-105.3,55.1,37.4,37.4,37.4,55,75,10.29,1538179200
Itauna,BR,-42.48,-22.93,70.89,70.89,70.89,99,88,3.71,1538180974
Debno,PL,14.7,52.74,44.7,44.7,44.7,72,0,9.98,1538180974
Matveyevka,UA,33.81,45.75,44.61,44.61,44.61,88,0,3.38,1538180974
Evensk,RU,159.24,61.92,40.74,40.74,40.74,100,100,14.67,1538180974
Santa Rosa,AR,-64.29,-36.62,60.8,60.8,60.8,100,90,11.41,1538180100
Doha,QA,51.53,25.29,87.8,87.8,87.8,66,0,5.82,1538179200
Vanavara,RU,102.28,60.35,30.66,30.66,30.66,80,0,2.48,1538180977
Mackay,CA,-115.58,53.65,41.88,44.6,39.2,67,75,4.7,1538179200
Iskateley,RU,53.15,67.68,39.03,39.03,39.03,100,88,4.5,1538180977
Amurzet,CN,131.09,47.69,53.97,53.97,53.97,94,20,4.83,1538180977
Bom Jesus,BR,-35.58,-5.99,77,77,77,83,20,6.93,1538179200
Camacha,PT,-16.33,33.08,72.63,73.4,71.6,78,40,12.75,1538179200
Silifke,TR,33.93,36.38,62.97,62.97,62.97,95,0,4.16,1538180978
Nsoko,ZA,31.93,-27.07,65.49,65.49,65.49,80,92,6.62,1538180978
Sokoto,NG,5.24,13.06,77.01,77.01,77.01,73,0,5.39,1538180978
Uglegorsk,RU,142.06,49.08,54.33,54.33,54.33,79,0,3.6,1538180979
Pingliang,CN,106.68,35.54,40.56,40.56,40.56,77,0,2.71,1538180979
Dakar,SN,-17.45,14.69,80.6,80.6,80.6,83,0,6.93,1538175600
Knysna,ZA,23.05,-34.04,51.8,51.8,51.8,71,0,10.29,1538179200
Dakoro,NE,6.76,14.51,73.77,73.77,73.77,77,0,3.27,1538180979
Luwuk,ID,122.79,-0.95,76.47,76.47,76.47,100,48,3.94,1538180979
Macusani,PE,-70.43,-14.07,50.46,50.46,50.46,100,36,1.36,1538180979
Tabalosos,PE,-76.63,-6.39,62.6,62.6,62.6,290,40,1.14,1538179200
Tiznit,MA,-9.73,29.7,69.99,69.99,69.99,94,80,4.83,1538180980
Olinda,EC,-79.75,-2.03,77,77,77,73,40,17.22,1538179200
Barra do Garcas,BR,-52.26,-15.89,82.4,82.4,82.4,61,20,2.24,1538179200
Ambon,FR,-2.56,47.55,57.2,57.2,57.2,82,0,10.29,1538179200
Diban,SY,40.51,35.02,67.92,67.92,67.92,40,0,8.41,1538180980
Gravdal,NO,5.78,59.79,50,50,50,76,92,21.92,1538178600
Druzhba,UA,25.65,49.36,53.43,53.43,53.43,98,92,10.09,1538180981
Ixtapa,MX,-105.21,20.71,86,86,86,74,40,6.93,1538178540
College,US,-147.8,64.86,54.5,55.04,53.96,7,1,11.41,1538179080
Tongliao,CN,122.27,43.61,49.29,49.29,49.29,84,0,7.52,1538180981
Dongsheng,CN,112.52,29.72,64.86,64.86,64.86,82,0,2.93,1538180981
Brae,GB,-1.35,60.4,51.03,51.8,50,61,92,28.86,1538178600
Georgetown,GY,-58.16,6.8,78.8,78.8,78.8,88,0,6.93,1538179200
Chipinge,ZW,32.62,-20.19,65.76,65.76,65.76,88,0,2.59,1538180982
Mahibadhoo,MV,72.97,3.78,81.15,81.15,81.15,100,68,21.5,1538180982
Diego de Almagro,CL,-70.05,-26.39,58.83,58.83,58.83,88,0,2.37,1538180982
Djibo,BF,-1.63,14.1,77.01,77.01,77.01,74,36,1.92,1538180982
Kristiansund,NO,7.73,63.12,44.8,46.4,42.8,75,92,26.4,1538178600
Rocha,UY,-54.34,-34.48,61.71,61.71,61.71,97,92,18.37,1538180983
Harper,US,-99.24,30.3,75.27,78.08,73.58,69,1,8.75,1538178900
San Jeronimo,PE,-73.37,-13.65,53.79,53.79,53.79,39,92,1.7,1538180983
Milharado,PT,-9.2,38.95,66.78,68,64.4,77,0,10.29,1538179200
Havre,US,-109.68,48.55,48.02,48.02,48.02,55,90,14.99,1538178780
Tilichiki,RU,166.1,60.47,40.74,40.74,40.74,94,0,3.83,1538180983
Pedra Azul,BR,-41.28,-16.01,72.96,72.96,72.96,44,0,6.85,1538180984
Narasannapeta,IN,84.04,18.42,71.97,71.97,71.97,99,0,2.71,1538180984
Pamanukan,ID,107.82,-6.28,80.79,80.79,80.79,100,0,8.97,1538180984
Ardakan,IR,54.02,32.31,60.8,60.8,60.8,25,0,2.24,1538179200
Ifanadiana,MG,47.64,-21.3,60,60,60,97,64,2.93,1538180984
Iquitos,PE,-73.25,-3.75,42.8,42.8,42.8,319,75,3.36,1538179200
Sangar,RU,127.47,63.92,32.73,32.73,32.73,74,12,4.05,1538180985
Popondetta,PG,148.24,-8.77,76.65,76.65,76.65,60,0,1.36,1538180985
Berlevag,NO,29.09,70.86,30.66,30.66,30.66,100,12,6.85,1538180985
Russell,AR,-68.8,-33.01,66.2,66.2,66.2,68,0,3.36,1538179200
Milos,GR,24.43,36.75,69.8,69.8,69.8,77,64,6.93,1538178600
Bolobo,CD,16.23,-2.17,75.84,75.84,75.84,88,24,1.59,1538180985
Rotterdam,NL,4.46,51.92,44.65,55.4,41,93,0,1.12,1538178900
Cairns,AU,145.77,-16.92,82.4,82.4,82.4,45,20,23.04,1538179200
Ondjiva,AO,15.73,-17.07,74.31,74.31,74.31,52,80,2.93,1538180986
San Quintin,PH,120.52,17.54,78.8,78.8,78.8,94,75,4.7,1538175600
Castanos,MX,-101.42,26.78,78.27,78.27,78.27,65,32,3.94,1538180986
Mende,FR,3.5,44.52,57.48,57.48,57.48,62,0,7.29,1538180986
Kavaratti,IN,72.64,10.57,79.26,79.26,79.26,100,64,9.19,1538180987
Muyuka,CM,9.41,4.29,77,77,77,100,75,2.24,1538179200
Hot Springs,US,-93.06,34.5,67.51,68,66.92,84,1,8.05,1538178780
Alice Springs,AU,133.88,-23.7,68,68,68,32,0,17.22,1538179200
Santa Cruz de Tenerife,ES,-16.25,28.47,71.2,75.2,66.2,93,76,5.82,1538179200
Bilibino,RU,166.44,68.06,42.81,42.81,42.81,67,36,3.04,1538180987
Stonewall,CA,-97.33,50.13,33.8,33.8,33.8,69,75,6.93,1538179200
Havelock,US,-76.9,34.88,81.18,82.04,80.96,93,75,5.82,1538179980
Santa Fe,AR,-60.7,-31.62,78.81,78.81,78.81,63,20,13,1538180988
Den Helder,NL,4.76,52.96,50.72,55.4,46.4,93,90,3.36,1538178900
Sawtell,AU,153.1,-30.38,78.8,78.8,78.8,50,8,8.05,1538179200
Abilene,US,-99.73,32.45,82.78,86,80.78,52,1,12.75,1538178900
Mogzon,RU,111.97,51.74,42.63,42.63,42.63,97,100,7.74,1538180989
Luanda,AO,13.24,-8.83,73.4,73.4,73.4,83,75,5.82,1538179200
Palembang,ID,104.76,-2.99,77,77,77,94,0,5.82,1538179200
Belokurikha,RU,84.99,52,50.01,50.01,50.01,58,32,9.42,1538180989
Baghdad,IQ,44.38,33.3,73.4,73.4,73.4,31,0,8.05,1538179200
Batagay,RU,134.64,67.65,28.14,28.14,28.14,80,20,4.16,1538180990
Praya,ID,116.27,-8.71,80.6,80.6,80.6,78,20,1.12,1538179200
Lodwar,KE,35.6,3.12,76.2,76.2,76.2,64,64,8.08,1538180990
Nishihara,JP,139.53,35.74,66.61,68,64.4,82,20,8.05,1538178960
Port Hawkesbury,CA,-61.36,45.62,62.6,62.6,62.6,100,90,10.29,1538179200
Madimba,CM,9.93,4.42,77,77,77,100,75,2.24,1538179200
Inhambane,MZ,35.38,-23.87,72.33,72.33,72.33,100,0,7.52,1538180990
Aykhal,RU,111.51,65.95,31.11,31.11,31.11,87,32,2.71,1538180991
Poya,NC,165.16,-21.35,71.16,71.16,71.16,95,68,17.25,1538180991
Nadym,RU,72.51,65.53,53.43,53.43,53.43,90,92,11.21,1538180991
Teya,MX,-89.07,21.05,86,86,86,70,75,9.17,1538178540
Freeport,BS,-78.7,26.54,84.2,84.2,84.2,79,20,3.36,1538175600
Bocas del Toro,PA,-82.25,9.33,81.69,81.69,81.69,100,0,7.85,1538180991
Skibbereen,IE,-9.27,51.55,46.4,46.4,46.4,81,20,5.82,1538177400
Amapa,HN,-87.97,15.09,84.2,84.2,84.2,74,40,11.41,1538179200
Sola,NO,5.65,58.89,48.45,50,46.4,93,75,5.82,1538178600
Nushki,PK,66.02,29.55,51.09,51.09,51.09,51,0,4.16,1538180992
Volksrust,ZA,29.88,-27.36,56.85,56.85,56.85,53,36,0.69,1538180992
Ambovombe,MG,46.09,-25.18,69.54,69.54,69.54,83,0,8.75,1538180992
Kadoma,ZW,29.91,-18.34,72.24,72.24,72.24,33,0,10.65,1538180993
Puksoozero,RU,40.61,62.59,41.01,41.01,41.01,98,92,14.79,1538180993
West Plains,US,-91.85,36.73,70.59,71.06,69.98,68,1,2.26,1538178780
Nhulunbuy,AU,136.78,-12.18,82.4,82.4,82.4,54,40,17.22,1538179200
Mamallapuram,IN,80.17,12.63,80.6,80.6,80.6,88,40,3.36,1538177400
Balkanabat,TM,54.36,39.51,54.6,54.6,54.6,68,0,1.92,1538180993
Saint Anthony,US,-111.68,43.97,74.28,77,69.98,3,1,9.17,1538178960
Beidao,CN,105.89,34.57,40.11,40.11,40.11,79,0,1.48,1538180994
Sabha,LY,14.43,27.03,67.2,67.2,67.2,65,44,2.15,1538180994
Pimentel,BR,-45.5,-3.7,84.39,84.39,84.39,61,48,6.96,1538180994
Platanos,GR,23.6,35.47,68,68,68,94,40,4.7,1538178600
Antofagasta,CL,-70.4,-23.65,59,59,59,77,90,12.75,1538179200
Bethel,US,-161.76,60.79,66.02,66.02,66.02,52,20,17.22,1538178780
Kijang,KR,129.21,35.24,62.6,62.6,62.6,82,75,4.7,1538175600
Trairi,BR,-39.27,-3.28,79.89,79.89,79.89,98,0,17.81,1538180995
Dhidhdhoo,MV,73.1,6.88,78.9,78.9,78.9,100,92,14,1538180837
Kloulklubed,PW,134.26,7.04,84.2,84.2,84.2,74,75,6.93,1538178600
Kruszwica,PL,18.33,52.67,41,41,41,93,0,8.05,1538179200
Streator,US,-88.84,41.12,51.48,52.7,50.36,74,90,5.82,1538178900
Vyartsilya,RU,30.69,62.18,36.69,36.69,36.69,85,68,12.66,1538180996
Port Blair,IN,92.75,11.67,83.4,83.4,83.4,100,12,6.17,1538180742
Cherat,PK,71.89,33.82,75.2,75.2,75.2,64,20,11.41,1538179200
Tura,IN,90.21,25.52,73.77,73.77,73.77,96,44,3.38,1538180996
Pointe-Noire,CG,11.85,-4.8,77,77,77,83,75,5.82,1538175600
Moranbah,AU,148.04,-22,78.27,78.27,78.27,52,0,6.96,1538180997
Chachapoyas,PE,-77.87,-6.23,61.26,61.26,61.26,90,0,1.92,1538180997
Nelson Bay,AU,152.14,-32.72,69.8,69.8,69.8,35,48,11.41,1538179200
Hami,CN,93.51,42.84,38.94,38.94,38.94,59,20,3.27,1538180997
Teruel,ES,-1.11,40.34,62.6,62.6,62.6,67,20,8.05,1538177400
Shimoni,KE,39.38,-4.65,75.66,75.66,75.66,100,88,12.77,1538180997
Weligama,LK,80.42,5.97,73.95,73.95,73.95,100,92,7.74,1538180998
Salinopolis,BR,-47.36,-0.61,81.87,81.87,81.87,94,88,18.7,1538180998
Ous,RU,61.52,60.91,39.12,39.12,39.12,84,12,5.95,1538180998
Oktyabrskiy,RU,37.97,55.61,40.96,42.8,39.2,75,40,8.95,1538177400
Verkhnevilyuysk,RU,120.31,63.45,40.65,40.65,40.65,85,92,5.28,1538180998
Aksha,RU,113.29,50.28,38.13,38.13,38.13,93,0,6.51,1538180998
Jauja,PE,-75.5,-11.78,42.72,42.72,42.72,79,100,3.15,1538180998
Nyandoma,RU,40.21,61.67,40.56,40.56,40.56,94,88,11.43,1538180999
Verkh-Chebula,RU,87.61,56.03,50.91,50.91,50.91,84,0,7.18,1538180999
Naryan-Mar,RU,53.09,67.67,39.93,39.93,39.93,99,92,4.72,1538180999
Sioux Lookout,CA,-91.92,50.1,32.79,33.8,32,74,75,10.29,1538179620
New York,US,-73.99,40.73,58.82,64.04,55.04,86,1,3.38,1538178960
Leh,IN,77.58,34.16,7.62,7.62,7.62,82,64,1.81,1538181000
Goundam,ML,-3.66,16.42,80.7,80.7,80.7,59,8,7.63,1538181000
Sur,OM,59.53,22.57,82.23,82.23,82.23,98,0,5.17,1538181000
Broken Hill,AU,141.45,-31.97,54.42,54.42,54.42,50,0,14.67,1538181000
Zyryanka,RU,150.89,65.73,32.73,32.73,32.73,80,92,8.08,1538181000
Qaqortoq,GL,-46.03,60.72,39.2,39.2,39.2,64,0,11.41,1538178600
